1.000E+002    1.8654  1.706E-001
1.200E+002    1.8499  1.151E-001
1.600E+002    1.8268  6.684E-002
2.100E+002    1.8114  4.282E-002
3.000E+002    1.7989  2.549E-002
5.000E+002    1.7908  1.405E-002
1.300E+003    1.7868  5.173E-003
5.000E+003    1.7861  1.337E-003
1.900E+004    1.7861  3.574E-004
3.900E+004    1.7861  1.839E-004
6.100E+004    1.7861  1.294E-004
8.600E+004    1.7861  1.058E-004
1.100E+005    1.7861  9.675E-005
1.400E+005    1.7861  9.360E-005
1.800E+005    1.7861  9.613E-005
2.400E+005    1.7861  1.066E-004
3.400E+005    1.7861  1.312E-004
5.400E+005    1.7861  1.895E-004
1.000E+006    1.7861  3.348E-004
2.000E+006    1.7861  6.596E-004
